q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K7A1_01,A1_Thiet_bi_Vao_Ra_co_ban,Một bộ máy tính để bàn tiêu chuẩn gồm những thành phần nào?,Hộp thân máy, màn hình, bàn phím, chuột.,Chỉ màn hình và chuột.,Chỉ hộp thân máy và bàn phím.,Chỉ loa và webcam.,A.,Nhận biết,Tin 7 – Chủ đề A – Bài 1
K7A1_02,A1_Thiet_bi_Vao_Ra_co_ban,Thiết bị nào được xem là thiết bị vào cơ bản của máy tính để bàn?,Màn hình.,Bàn phím và chuột.,Loa.,Máy in.,B.,Nhận biết,Tin 7 – Chủ đề A – Bài 1
K7A1_03,A1_Thiet_bi_Vao_Ra_co_ban,Thiết bị ra cơ bản hiển thị thông tin cho người dùng là gì?,Bàn phím.,Chuột.,Màn hình.,USB.,C.,Nhận biết,Tin 7 – Chủ đề A – Bài 1
K7A1_04,A1_Thiet_bi_Vao_Ra_co_ban,Bên trong hộp thân máy có thành phần nào quan trọng?,CPU, RAM, ổ đĩa cứng.,Bàn phím, chuột.,Màn hình, loa.,Webcam, micro.,A.,Nhận biết,Tin 7 – Chủ đề A – Bài 1
K7A1_05,A1_Thiet_bi_Vao_Ra_co_ban,Muốn máy tính để bàn nhận hình ảnh trực tiếp cần bổ sung gì?,Máy in.,Webcam.,Máy quét 3D.,Ổ quang.,B.,Nhận biết,Tin 7 – Chủ đề A – Bài 1
K7A1_06,A1_Thiet_bi_Vao_Ra_co_ban,Điểm khác của máy tính xách tay so với máy để bàn là gì?,Không có bàn phím.,Tích hợp thân máy, màn hình, bàn phím, chuột cảm ứng trong một khối.,Không có loa.,Không dùng được chuột ngoài.,B.,Thông hiểu,Tin 7 – Chủ đề A – Bài 1
K7A1_07,A1_Thiet_bi_Vao_Ra_co_ban,Bộ phận nào thường thay thế chuột trên máy tính xách tay?,Bàn phím ảo.,Bảng vẽ.,Tấm chạm (touchpad).,Bút cảm ứng.,C.,Thông hiểu,Tin 7 – Chủ đề A – Bài 1
K7A1_08,A1_Thiet_bi_Vao_Ra_co_ban,Thiết bị nào giúp máy tính xách tay thu và phát âm thanh?,Ổ đĩa.,Máy in.,Loa và micro tích hợp.,Chuột không dây.,C.,Thông hiểu,Tin 7 – Chủ đề A – Bài 1
K7A1_09,A1_Thiet_bi_Vao_Ra_co_ban,Màn hình cảm ứng trên máy tính bảng/điện thoại có vai trò gì?,Chỉ là thiết bị ra.,Chỉ là thiết bị vào.,Vừa là thiết bị vào vừa là thiết bị ra.,Không liên quan đến nhập liệu.,C.,Thông hiểu,Tin 7 – Chủ đề A – Bài 1
K7A1_10,A1_Thiet_bi_Vao_Ra_co_ban,Tình huống: Muốn gọi video trên máy để bàn, em cần bổ sung tối thiểu gì?,Máy quét và máy in.,Webcam và micro/loa hoặc tai nghe.,Ổ cứng mới.,Bàn phím ảo.,B.,Vận dụng,Tin 7 – Chủ đề A – Bài 1
K7A1_11,A1_Thiet_bi_Vao_Ra_co_ban,Tình huống: Màn hình không hiển thị nhưng máy vẫn chạy. Em nên kiểm tra gì trước?,Đổi bàn phím.,Kiểm tra cáp màn hình và nguồn màn hình.,Thay CPU.,Cài lại hệ điều hành ngay.,B.,Vận dụng,Tin 7 – Chủ đề A – Bài 1
K7A1_12,A1_Thiet_bi_Vao_Ra_co_ban,Tình huống: Cần nhập nhanh văn bản trên máy tính bảng. Cách phù hợp là gì?,Chỉ dùng chuột.,Dùng bàn phím ảo trên màn hình cảm ứng.,Cắm máy in.,Tắt màn hình.,B.,Vận dụng,Tin 7 – Chủ đề A – Bài 1
K7A2_01,A2_Khai_niem_Vao_Ra,Thiết bị vào – ra là gì theo bài học?,Các thiết bị giúp máy tính nhận thông tin vào và xuất thông tin ra.,Chỉ thiết bị lưu trữ.,Chỉ thiết bị hiển thị.,Chỉ phần mềm.,A.,Nhận biết,Tin 7 – Chủ đề A – Bài 2
K7A2_02,A2_Khai_niem_Vao_Ra,Thiết bị nào là thiết bị vào?,Máy in.,Máy quét.,Màn hình.,Loa.,B.,Nhận biết,Tin 7 – Chủ đề A – Bài 2
K7A2_03,A2_Khai_niem_Vao_Ra,Thiết bị nào là thiết bị ra?,Bàn phím.,Micro.,Máy in.,Máy ảnh số.,C.,Nhận biết,Tin 7 – Chủ đề A – Bài 2
