q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K7B1_01,B1_Gioi_thieu_mang_xa_hoi,Mạng xã hội là gì theo bài học,Ứng dụng web kết nối người dùng có cùng mối quan tâm,Chỉ là phần cứng máy tính,Chỉ là một trang tin tức,Chỉ là công cụ in ấn,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 1
K7B1_02,B1_Gioi_thieu_mang_xa_hoi,Ví dụ nào là mạng xã hội,Facebook,Zing News,Báo giấy lớp học,Sổ liên lạc giấy,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 1
K7B1_03,B1_Gioi_thieu_mang_xa_hoi,Nội dung do người dùng tạo trên mạng xã hội có dạng nào,Văn bản hình ảnh âm thanh video,Chỉ văn bản,Chỉ tệp nén,Chỉ mã nguồn,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 1
K7B1_04,B1_Gioi_thieu_mang_xa_hoi,Chức năng cơ bản của mạng xã hội là,Tạo trang cá nhân và chia sẻ bài viết,Biên dịch chương trình,Cài đặt hệ điều hành,Quản lí máy in,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 1
K7B1_05,B1_Gioi_thieu_mang_xa_hoi,Một ví dụ kênh trao đổi thông tin khác ngoài mạng xã hội là,Thư điện tử,Ổ đĩa cứng,Bàn phím,Con trỏ chuột,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 1
K7B1_06,B1_Gioi_thieu_mang_xa_hoi,Điểm khác giữa mạng xã hội và website tĩnh là,Nội dung do người dùng đăng và hiển thị gần như ngay,Nội dung không bao giờ thay đổi,Không có tương tác nào,Chỉ có quảng cáo,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 1
K7B1_07,B1_Gioi_thieu_mang_xa_hoi,Vì sao nhiều người tham gia mạng xã hội,Kết nối chia sẻ giao lưu thuận tiện,Học kém hơn,Gây hỏng thiết bị,Tăng cân nặng,B.,Thông hiểu,Tin 7 – Chủ đề B – Bài 1
K7B1_08,B1_Gioi_thieu_mang_xa_hoi,Đặc điểm hồ sơ cá nhân trên mạng xã hội là,Cho phép cập nhật ảnh và thông tin của người dùng,Chỉ có một màu nền,Không có ảnh đại diện,Không có phần giới thiệu,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 1
K7B1_09,B1_Gioi_thieu_mang_xa_hoi,Hai rủi ro phổ biến khi dùng mạng xã hội là,Thông tin giả và lộ dữ liệu cá nhân,Tăng tốc kết nối và giảm chi phí,Luôn an toàn tuyệt đối và không có spam,Không thể bị bình luận tiêu cực,A.,Thông hiểu,Tin 7 – Chủ đề B – Bài 1
K7B1_10,B1_Gioi_thieu_mang_xa_hoi,Tình huống cần nhận biết mạng xã hội trong danh sách sau Facebook Zalo Trang báo lớp Thiếu niên,Chọn hai mục là mạng xã hội,Chọn mọi mục,Chỉ chọn trang báo lớp,Không chọn mục nào,A.,Vận dụng,Tin 7 – Chủ đề B – Bài 1
K7B1_11,B1_Gioi_thieu_mang_xa_hoi,Tình huống bạn muốn kết nối với người có cùng sở thích học tập Cách phù hợp là,Tạo trang cá nhân và tham gia nhóm chủ đề phù hợp,Đăng mật khẩu của bạn,Chia sẻ số thẻ ngân hàng,Chỉ bình luận bằng kí tự lạ,A.,Vận dụng,Tin 7 – Chủ đề B – Bài 1
K7B1_12,B1_Gioi_thieu_mang_xa_hoi,Khi thấy bài đăng có dấu hiệu thông tin sai cách ứng xử phù hợp là,Báo cáo cho nền tảng và hỏi ý kiến người lớn,tự chia sẻ tiếp,bình luận xúc phạm,gửi thông tin cá nhân,A.,Vận dụng,Tin 7 – Chủ đề B – Bài 1
K7B2_01,B2_Thuc_hanh_mxh,Facebook được giới thiệu là mạng xã hội do ai khởi xướng,Mark Zuckerberg,Nikola Tesla,Alan Turing,Bill Gates,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 2
K7B2_02,B2_Thuc_hanh_mxh,Bước đầu để tạo tài khoản Facebook là,Truy cập trang facebook chấm com,Tháo pin máy tính,Đổi ổ cứng,Đặt lại BIOS,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 2
K7B2_03,B2_Thuc_hanh_mxh,Thông tin thường cần khi đăng ký tài khoản là,Họ tên email hoặc số điện thoại mật khẩu ngày sinh giới tính,Mật khẩu của bạn bè,Mã thẻ ngân hàng,Mã máy in,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 2
K7B2_04,B2_Thuc_hanh_mxh,Chức năng cập nhật ảnh đại diện thuộc mục,Update profile picture,Format Disk,Add Printer,Task Manager,A.,Nhận biết,Tin 7 – Chủ đề B – Bài 2
