q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K7E1_01,E1_Lam_quen_bang_tinh,Phần mềm bảng tính điện tử dùng để làm gì,Tính toán và phân tích dữ liệu dạng bảng,Chỉ để soạn văn bản,Chỉ để vẽ hình,Chỉ để làm phim,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 1
K7E1_02,E1_Lam_quen_bang_tinh,Ví dụ thể hiện dữ liệu dạng bảng,Bảng điểm lớp em,Đoạn văn mô tả,Bức tranh phong cảnh,Đoạn video ca nhạc,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 1
K7E1_03,E1_Lam_quen_bang_tinh,Excel thuộc nhóm phần mềm nào,Bảng tính điện tử,Xử lí ảnh,Lập trình trò chơi,Trình duyệt web,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 1
K7E1_04,E1_Lam_quen_bang_tinh,Nhóm lệnh tương tự Word dễ thấy ở đâu,Thanh Home trong Excel,Công cụ vẽ 3D,Trình chỉnh sửa video,Trình soạn nhạc,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 1
K7E1_05,E1_Lam_quen_bang_tinh,Biểu đồ trong bảng tính dùng để làm gì,Trình bày thông tin trực quan,Lưu trữ phim ảnh,Ghi âm âm thanh,Phát nhạc trực tuyến,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 1
K7E1_06,E1_Lam_quen_bang_tinh,Vì sao nội dung bảng tính đưa lên mạng khó thu hồi,Dữ liệu có thể bị sao chép rất nhanh,Không có ai xem,Nên cấm sử dụng máy tính,Tất cả đều bị khoá,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 1
K7E1_07,E1_Lam_quen_bang_tinh,Ý nghĩa của tính tự động theo công thức,Kết quả cập nhật khi số liệu thay đổi,Chỉ để trang trí,Không tác dụng với số,Chỉ dùng được một lần,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 1
K7E1_08,E1_Lam_quen_bang_tinh,Bước đúng khi sao chép bảng từ Word sang Excel,Chọn bảng rồi dùng tổ hợp Ctrl C và Ctrl V,Tắt máy rồi mở lại,Chụp ảnh màn hình,Ghi lại bằng tay,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 1
K7E1_09,E1_Lam_quen_bang_tinh,Khi nào dùng lệnh tổng nhanh ký hiệu Sigma,Tính tổng một cột số liệu,Chèn hình ảnh,Tạo trang mới,Đổi màu nền,A.,Thông hiểu,Tin 7 – Chủ đề E – Bài 1
K7E1_10,E1_Lam_quen_bang_tinh,Tính tổng cân nặng trong bảng BMI nên làm gì,Chọn cột cân nặng và nhấn nút tổng Sigma,Đánh lại bảng mới,Gửi email hỏi bạn,Đổi phông chữ,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 1
K7E1_11,E1_Lam_quen_bang_tinh,Tạo biểu đồ chiều cao bước đầu tiên là gì,Chọn khối dữ liệu chiều cao,In trang tính ngay,Mở PowerPoint,Xoá tất cả ô,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 1
K7E1_12,E1_Lam_quen_bang_tinh,Sửa sai một ô dữ liệu trong Excel như thế nào,Nháy đúp vào ô hoặc nhấn F2 rồi sửa,Nhấn phím Esc liên tục,Xoá toàn bộ tệp,Tắt Internet,A.,Vận dụng,Tin 7 – Chủ đề E – Bài 1
K7E2_01,E2_Trang_tinh_va_thanh_phan,Sổ tính là gì,Một tệp bảng tính gồm nhiều trang tính,Một thư mục ảnh,Một tệp âm thanh,Một tệp video,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 2
K7E2_02,E2_Trang_tinh_va_thanh_phan,Trang tính gồm những thành phần chính nào,Hàng và cột và các ô,Chỉ có hình ảnh,Chỉ có đoạn văn,Chỉ có video,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 2
K7E2_03,E2_Trang_tinh_va_thanh_phan,Tên cột được đặt theo gì,Chữ cái A B C,Số 1 2 3,Kí hiệu đặc biệt,Màu sắc,A.,Nhận biết,Tin 7 – Chủ đề E – Bài 2
