q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K7F1_01,F1_Tim_kiem_tuan_tu,Tìm kiếm tuần tự là gì,Duyệt lần lượt từng phần tử và so sánh với x,Chia đôi dãy rồi tìm,Lấy ngẫu nhiên một vị trí,Chỉ so sánh đầu và cuối,A.,Nhận biết,Tin 7 – Chủ đề F – Bài 1
K7F1_02,F1_Tim_kiem_tuan_tu,Khi dãy không có thứ tự ta nên dùng,Tim kiem tuan tu,Tim kiem nhi phan,Sap xep noi bot,Sap xep chon,A.,Nhận biết,Tin 7 – Chủ đề F – Bài 1
K7F1_03,F1_Tim_kiem_tuan_tu,Kết quả cuối cùng của tìm kiếm tuần tự có thể là,Tìm thấy hoặc không tìm thấy,Luôn tìm thấy,Luôn không tìm thấy,Không xác định,A.,Nhận biết,Tin 7 – Chủ đề F – Bài 1
K7F1_04,F1_Tim_kiem_tuan_tu,Vị trí trả về của thuật toán là,Vị trí đầu tiên tìm thấy x,Vị trí cuối cùng,Vị trí bất kì,Vị trí giữa,A.,Nhận biết,Tin 7 – Chủ đề F – Bài 1
K7F1_05,F1_Tim_kiem_tuan_tu,Điều kiện dừng giữa chừng là,Khi đã tìm thấy x,Khi dãy rỗng,Khi i âm,Khi số lẻ,A.,Nhận biết,Tin 7 – Chủ đề F – Bài 1
K7F1_06,F1_Tim_kiem_tuan_tu,Lí do phải duyệt đến hết dãy khi không gặp x vì,Không phần tử nào khớp x trước đó,Để tăng thời gian chạy,Do lỗi thuật toán,Do dãy luôn tăng,B.,Thông hiểu,Tin 7 – Chủ đề F – Bài 1
K7F1_07,F1_Tim_kiem_tuan_tu,Tại sao nói tìm kiếm tuần tự đơn giản,Dễ cài đặt và áp dụng cho mọi dãy,Do luôn nhanh nhất,Do không cần so sánh,Do không cần biến chỉ số,A.,Thông hiểu,Tin 7 – Chủ đề F – Bài 1
K7F1_08,F1_Tim_kiem_tuan_tu,Trong ví dụ lớp có một điểm 10 bước đầu tiên là,So sánh phần tử đầu dãy với x,So sánh phần tử cuối,Chia đôi dãy,Hoán đổi hai phần tử,A.,Thông hiểu,Tin 7 – Chủ đề F – Bài 1
K7F1_09,F1_Tim_kiem_tuan_tu,Khi nào kết luận không tìm thấy x,Khi đã xét hết dãy mà không khớp,Khi xét hai phần tử đầu,Khi x nhỏ hơn a1,Khi x lớn hơn a1,A.,Thông hiểu,Tin 7 – Chủ đề F – Bài 1
K7F1_10,F1_Tim_kiem_tuan_tu,Tình huống thực tế phù hợp tìm kiếm tuần tự,Tìm bài làm trong chồng chưa sắp tên,Tìm tên trong danh bạ đã sắp,Tìm số ở giữa bằng chia đôi,Tìm phần tử lớn nhất,B.,Vận dụng,Tin 7 – Chủ đề F – Bài 1
K7F1_11,F1_Tim_kiem_tuan_tu,Cho dãy chưa sắp xếp em cần tìm số 44 cách hiệu quả là,Duyệt từ đầu đến khi gặp 44 hoặc hết dãy,Chia đôi dãy và so sánh,Đổi chỗ các phần tử liền kề,Chọn phần tử lớn nhất rồi đổi chỗ,A.,Vận dụng,Tin 7 – Chủ đề F – Bài 1
