q_id,topic_id,question_text,option_A,option_B,option_C,option_D,correct_option,difficulty,source
K9B9A_01,9A_Tong_hop_thu_chi,Cú pháp đúng của hàm IF trong bảng tính là gì?,=IF(logical_test; value_if_false; value_if_true),=IF(value_if_true; value_if_false; logical_test),=IF(logical_test; value_if_true; [value_if_false]),=IF(logical_test),C,Nhận biết,Tin 9 - CTST - Bài 9A
K9B9A_02,9A_Tong_hop_thu_chi,Hàm nào dùng để trích xuất giá trị "Tháng" từ một ô chứa dữ liệu ngày tháng (Date)?,=YEAR(),=DATE(),=DAY(),=MONTH(),D,Nhận biết,Tin 9 - CTST - Bài 9A
K9B9A_03,9A_Tong_hop_thu_chi,Để tính tổng giá trị một cột số liệu (ví dụ cột B) ta dùng hàm nào?,=MAX(B:B),=SUM(B:B),=COUNT(B:B),=AVERAGE(B:B),B,Nhận biết,Tin 9 - CTST - Bài 9A
K9B9A_04,9A_Tong_hop_thu_chi,Khi tham chiếu đến một ô dữ liệu nằm ở trang tính (Sheet) khác, tên trang tính và địa chỉ ô được ngăn cách bởi dấu gì?,Dấu chấm than (!),Dấu hai chấm (:),Dấu chấm phẩy (;),Dấu gạch ngang (-),A,Nhận biết,Tin 9 - CTST - Bài 9A
K9B9A_05,9A_Tong_hop_thu_chi,Biểu tượng phép so sánh "Lớn hơn hoặc bằng" trong Excel viết như thế nào?,=>,>=,> =,Equal or Greater,B,Nhận biết,Tin 9 - CTST - Bài 9A
K9B9A_06,9A_Tong_hop_thu_chi,Kết quả của công thức =IF(10 > 5; "Đúng"; "Sai") là gì?,Sai,Đúng,10,5,B,Thông hiểu,Tin 9 - CTST - Bài 9A
K9B9A_07,9A_Tong_hop_thu_chi,Mục đích chính của việc tạo trang tính "Tổng hợp" trong dự án quản lý tài chính là gì?,Để nhập dữ liệu chi tiêu hàng ngày,Để vẽ hình ảnh trang trí,Để gom nhóm dữ liệu từ các trang Thu/Chi về một nơi giúp dễ dàng so sánh và đối chiếu,Để xóa bớt dữ liệu cũ,C,Thông hiểu,Tin 9 - CTST - Bài 9A
K9B9A_08,9A_Tong_hop_thu_chi,Tại sao khi viết tên trang tính trong công thức (ví dụ ='Thu nhập'!A1) ta cần để tên trang tính trong dấu nháy đơn ' '?,Vì tên trang tính có chứa dấu cách (khoảng trắng),Vì Excel bắt buộc với mọi trang tính,Vì đó là dữ liệu văn bản,Để công thức đẹp hơn,A,Thông hiểu,Tin 9 - CTST - Bài 9A
K9B9A_09,9A_Tong_hop_thu_chi,Trong bài toán cân đối thu chi, hàm IF thường được dùng để làm gì?,Để tính tổng tiền,Để đếm số lần chi,Để đưa ra cảnh báo hoặc lời nhắc (ví dụ: "Chi vượt Thu" hoặc "Cân đối") dựa trên sự so sánh số liệu,Để lấy ngày tháng hiện tại,C,Thông hiểu,Tin 9 - CTST - Bài 9A
K9B9A_10,9A_Tong_hop_thu_chi,Để lấy giá trị ô H10 từ trang tính "Thu nhập" đưa sang trang tính "Tổng hợp", công thức nào sau đây là ĐÚNG?,="Thu nhập"!H10,='Thu nhập'!H10,=Thu nhập!H10,='Tổng hợp'!H10,B,Vận dụng,Tin 9 - CTST - Bài 9A
K9B9A_11,9A_Tong_hop_thu_chi,Tại ô C2 chứa Tổng thu, ô D2 chứa Tổng chi. Công thức nào để hiển thị thông báo "Cảnh báo" nếu Chi lớn hơn Thu, ngược lại để trống?,=IF(D2>C2; "Cảnh báo"; ""),=IF(C2>D2; "Cảnh báo"; ""),=IF(D2>C2; ""; "Cảnh báo"),=SUM(C2:D2),A,Vận dụng,Tin 9 - CTST - Bài 9A
K9B9A_12,9A_Tong_hop_thu_chi,Giả sử ô A2 chứa ngày "15/10/2023". Công thức =IF(MONTH(A2)=10; "Tháng Mười"; "Không phải") sẽ trả về kết quả gì?,Không phải,Tháng Mười,10,Lỗi,B,Vận dụng,Tin 9 - CTST - Bài 9A
