studentId,skillId,score,lastUpdated
2324_0001,A1_Thong_tin_va_xu_li,0.88,2025-01-15
2324_0001,A2_Luu_tru_va_trao_doi,0.88,2025-01-15
2324_0001,A3_May_tinh_trong_HDTT,0.88,2025-01-15
2324_0001,A4_May_tinh_va_phan_mem,0.88,2025-01-15
2324_0001,A5_He_dieu_hanh,0.88,2025-01-15
2324_0001,k6_b1_khai_niem_loi_ich,0.88,2025-01-15
2324_0001,k6_b2_cac_thanh_phan,0.88,2025-01-15
2324_0001,k6_b3_ket_noi_mang,0.88,2025-01-15
2324_0001,k6_b4_an_toan_mang,0.88,2025-01-15
2324_0001,k6_c1_so_do_tu_duy,0.88,2025-01-15
2324_0001,k6_c2_tao_so_do_tu_duy,0.88,2025-01-15
2324_0001,k6_c3_chinh_sua_so_do,0.88,2025-01-15
2324_0001,k6_c4_trinh_bay_so_do,0.88,2025-01-15
2324_0001,k6_d1_van_ban_so,0.88,2025-01-15
2324_0001,k6_d2_soan_thao_van_ban,0.88,2025-01-15
2324_0001,k6_d3_dinh_dang_van_ban,0.88,2025-01-15
2324_0001,k6_e1_bang_tinh,0.88,2025-01-15
2324_0001,k6_e2_nhap_du_lieu,0.88,2025-01-15
2324_0001,k6_e3_tinh_toan,0.88,2025-01-15
2324_0001,k6_f1_trinh_chieu,0.88,2025-01-15
2324_0002,A1_Thong_tin_va_xu_li,0.96,2025-01-15
2324_0002,A2_Luu_tru_va_trao_doi,0.96,2025-01-15
2324_0002,A3_May_tinh_trong_HDTT,0.96,2025-01-15
2324_0002,A4_May_tinh_va_phan_mem,0.96,2025-01-15
2324_0002,A5_He_dieu_hanh,0.96,2025-01-15
2324_0002,k6_b1_khai_niem_loi_ich,0.96,2025-01-15
2324_0002,k6_b2_cac_thanh_phan,0.96,2025-01-15
2324_0002,k6_b3_ket_noi_mang,0.96,2025-01-15
2324_0002,k6_b4_an_toan_mang,0.96,2025-01-15
2324_0002,k6_c1_so_do_tu_duy,0.96,2025-01-15
2324_0002,k6_c2_tao_so_do_tu_duy,0.96,2025-01-15
2324_0002,k6_c3_chinh_sua_so_do,0.96,2025-01-15
2324_0002,k6_c4_trinh_bay_so_do,0.96,2025-01-15
2324_0002,k6_d1_van_ban_so,0.96,2025-01-15
2324_0002,k6_d2_soan_thao_van_ban,0.96,2025-01-15
2324_0002,k6_d3_dinh_dang_van_ban,0.96,2025-01-15
2324_0002,k6_e1_bang_tinh,0.96,2025-01-15
2324_0002,k6_e2_nhap_du_lieu,0.96,2025-01-15
2324_0002,k6_e3_tinh_toan,0.96,2025-01-15
2324_0002,k6_f1_trinh_chieu,0.96,2025-01-15
2324_0003,A1_Thong_tin_va_xu_li,0.9,2025-01-15
2324_0003,A2_Luu_tru_va_trao_doi,0.9,2025-01-15
2324_0003,A3_May_tinh_trong_HDTT,0.9,2025-01-15
2324_0003,A4_May_tinh_va_phan_mem,0.9,2025-01-15
2324_0003,A5_He_dieu_hanh,0.9,2025-01-15
2324_0003,k6_b1_khai_niem_loi_ich,0.9,2025-01-15
2324_0003,k6_b2_cac_thanh_phan,0.9,2025-01-15
2324_0003,k6_b3_ket_noi_mang,0.9,2025-01-15
2324_0003,k6_b4_an_toan_mang,0.9,2025-01-15
2324_0003,k6_c1_so_do_tu_duy,0.9,2025-01-15
2324_0003,k6_c2_tao_so_do_tu_duy,0.9,2025-01-15
2324_0003,k6_c3_chinh_sua_so_do,0.9,2025-01-15
2324_0003,k6_c4_trinh_bay_so_do,0.9,2025-01-15
2324_0003,k6_d1_van_ban_so,0.9,2025-01-15
2324_0003,k6_d2_soan_thao_van_ban,0.9,2025-01-15
2324_0003,k6_d3_dinh_dang_van_ban,0.9,2025-01-15
2324_0003,k6_e1_bang_tinh,0.9,2025-01-15
2324_0003,k6_e2_nhap_du_lieu,0.9,2025-01-15
2324_0003,k6_e3_tinh_toan,0.9,2025-01-15
2324_0003,k6_f1_trinh_chieu,0.9,2025-01-15
2324_0004,A1_Thong_tin_va_xu_li,0.88,2025-01-15
2324_0004,A2_Luu_tru_va_trao_doi,0.88,2025-01-15
2324_0004,A3_May_tinh_trong_HDTT,0.88,2025-01-15
2324_0004,A4_May_tinh_va_phan_mem,0.88,2025-01-15
2324_0004,A5_He_dieu_hanh,0.88,2025-01-15
2324_0004,k6_b1_khai_niem_loi_ich,0.88,2025-01-15
2324_0004,k6_b2_cac_thanh_phan,0.88,2025-01-15
2324_0004,k6_b3_ket_noi_mang,0.88,2025-01-15
2324_0004,k6_b4_an_toan_mang,0.88,2025-01-15
2324_0004,k6_c1_so_do_tu_duy,0.88,2025-01-15
2324_0004,k6_c2_tao_so_do_tu_duy,0.88,2025-01-15
2324_0004,k6_c3_chinh_sua_so_do,0.88,2025-01-15
2324_0004,k6_c4_trinh_bay_so_do,0.88,2025-01-15
2324_0004,k6_d1_van_ban_so,0.88,2025-01-15
2324_0004,k6_d2_soan_thao_van_ban,0.88,2025-01-15
2324_0004,k6_d3_dinh_dang_van_ban,0.88,2025-01-15
2324_0004,k6_e1_bang_tinh,0.88,2025-01-15
2324_0004,k6_e2_nhap_du_lieu,0.88,2025-01-15
2324_0004,k6_e3_tinh_toan,0.88,2025-01-15
2324_0004,k6_f1_trinh_chieu,0.88,2025-01-15
2324_0005,A1_Thong_tin_va_xu_li,0.97,2025-01-15
2324_0005,A2_Luu_tru_va_trao_doi,0.97,2025-01-15
2324_0005,A3_May_tinh_trong_HDTT,0.97,2025-01-15
2324_0005,A4_May_tinh_va_phan_mem,0.97,2025-01-15
2324_0005,A5_He_dieu_hanh,0.97,2025-01-15
2324_0005,k6_b1_khai_niem_loi_ich,0.97,2025-01-15
2324_0005,k6_b2_cac_thanh_phan,0.97,2025-01-15
2324_0005,k6_b3_ket_noi_mang,0.97,2025-01-15
2324_0005,k6_b4_an_toan_mang,0.97,2025-01-15
2324_0005,k6_c1_so_do_tu_duy,0.97,2025-01-15
2324_0005,k6_c2_tao_so_do_tu_duy,0.97,2025-01-15
2324_0005,k6_c3_chinh_sua_so_do,0.97,2025-01-15
2324_0005,k6_c4_trinh_bay_so_do,0.97,2025-01-15
2324_0005,k6_d1_van_ban_so,0.97,2025-01-15
2324_0005,k6_d2_soan_thao_van_ban,0.97,2025-01-15
2324_0005,k6_d3_dinh_dang_van_ban,0.97,2025-01-15
2324_0005,k6_e1_bang_tinh,0.97,2025-01-15
2324_0005,k6_e2_nhap_du_lieu,0.97,2025-01-15
2324_0005,k6_e3_tinh_toan,0.97,2025-01-15
2324_0005,k6_f1_trinh_chieu,0.97,2025-01-15
2324_0006,A1_Thong_tin_va_xu_li,0.85,2025-01-15
2324_0006,A2_Luu_tru_va_trao_doi,0.85,2025-01-15
2324_0006,A3_May_tinh_trong_HDTT,0.85,2025-01-15
2324_0006,A4_May_tinh_va_phan_mem,0.85,2025-01-15
2324_0006,A5_He_dieu_hanh,0.85,2025-01-15
2324_0006,k6_b1_khai_niem_loi_ich,0.85,2025-01-15
2324_0006,k6_b2_cac_thanh_phan,0.85,2025-01-15
2324_0006,k6_b3_ket_noi_mang,0.85,2025-01-15
2324_0006,k6_b4_an_toan_mang,0.85,2025-01-15
2324_0006,k6_c1_so_do_tu_duy,0.85,2025-01-15
2324_0006,k6_c2_tao_so_do_tu_duy,0.85,2025-01-15
2324_0006,k6_c3_chinh_sua_so_do,0.85,2025-01-15
2324_0006,k6_c4_trinh_bay_so_do,0.85,2025-01-15
2324_0006,k6_d1_van_ban_so,0.85,2025-01-15
2324_0006,k6_d2_soan_thao_van_ban,0.85,2025-01-15
2324_0006,k6_d3_dinh_dang_van_ban,0.85,2025-01-15
2324_0006,k6_e1_bang_tinh,0.85,2025-01-15
2324_0006,k6_e2_nhap_du_lieu,0.85,2025-01-15
2324_0006,k6_e3_tinh_toan,0.85,2025-01-15
2324_0006,k6_f1_trinh_chieu,0.85,2025-01-15
2324_0007,A1_Thong_tin_va_xu_li,0.83,2025-01-15
2324_0007,A2_Luu_tru_va_trao_doi,0.83,2025-01-15
2324_0007,A3_May_tinh_trong_HDTT,0.83,2025-01-15
2324_0007,A4_May_tinh_va_phan_mem,0.83,2025-01-15
2324_0007,A5_He_dieu_hanh,0.83,2025-01-15
2324_0007,k6_b1_khai_niem_loi_ich,0.83,2025-01-15
2324_0007,k6_b2_cac_thanh_phan,0.83,2025-01-15
2324_0007,k6_b3_ket_noi_mang,0.83,2025-01-15
2324_0007,k6_b4_an_toan_mang,0.83,2025-01-15
2324_0007,k6_c1_so_do_tu_duy,0.83,2025-01-15
2324_0007,k6_c2_tao_so_do_tu_duy,0.83,2025-01-15
2324_0007,k6_c3_chinh_sua_so_do,0.83,2025-01-15
2324_0007,k6_c4_trinh_bay_so_do,0.83,2025-01-15
2324_0007,k6_d1_van_ban_so,0.83,2025-01-15
2324_0007,k6_d2_soan_thao_van_ban,0.83,2025-01-15
2324_0007,k6_d3_dinh_dang_van_ban,0.83,2025-01-15
2324_0007,k6_e1_bang_tinh,0.83,2025-01-15
2324_0007,k6_e2_nhap_du_lieu,0.83,2025-01-15
2324_0007,k6_e3_tinh_toan,0.83,2025-01-15
2324_0007,k6_f1_trinh_chieu,0.83,2025-01-15
2324_0008,A1_Thong_tin_va_xu_li,0.55,2025-01-15
2324_0008,A2_Luu_tru_va_trao_doi,0.55,2025-01-15
2324_0008,A3_May_tinh_trong_HDTT,0.55,2025-01-15
2324_0008,A4_May_tinh_va_phan_mem,0.55,2025-01-15
2324_0008,A5_He_dieu_hanh,0.55,2025-01-15
2324_0008,k6_b1_khai_niem_loi_ich,0.55,2025-01-15
2324_0008,k6_b2_cac_thanh_phan,0.55,2025-01-15
2324_0008,k6_b3_ket_noi_mang,0.55,2025-01-15
2324_0008,k6_b4_an_toan_mang,0.55,2025-01-15
2324_0008,k6_c1_so_do_tu_duy,0.55,2025-01-15
2324_0008,k6_c2_tao_so_do_tu_duy,0.55,2025-01-15
2324_0008,k6_c3_chinh_sua_so_do,0.55,2025-01-15
2324_0008,k6_c4_trinh_bay_so_do,0.55,2025-01-15
2324_0008,k6_d1_van_ban_so,0.55,2025-01-15
2324_0008,k6_d2_soan_thao_van_ban,0.55,2025-01-15
2324_0008,k6_d3_dinh_dang_van_ban,0.55,2025-01-15
2324_0008,k6_e1_bang_tinh,0.55,2025-01-15
2324_0008,k6_e2_nhap_du_lieu,0.55,2025-01-15
2324_0008,k6_e3_tinh_toan,0.55,2025-01-15
2324_0008,k6_f1_trinh_chieu,0.55,2025-01-15
2324_0009,A1_Thong_tin_va_xu_li,0.88,2025-01-15
2324_0009,A2_Luu_tru_va_trao_doi,0.88,2025-01-15
2324_0009,A3_May_tinh_trong_HDTT,0.88,2025-01-15
2324_0009,A4_May_tinh_va_phan_mem,0.88,2025-01-15
2324_0009,A5_He_dieu_hanh,0.88,2025-01-15
2324_0009,k6_b1_khai_niem_loi_ich,0.88,2025-01-15
2324_0009,k6_b2_cac_thanh_phan,0.88,2025-01-15
2324_0009,k6_b3_ket_noi_mang,0.88,2025-01-15
2324_0009,k6_b4_an_toan_mang,0.88,2025-01-15
2324_0009,k6_c1_so_do_tu_duy,0.88,2025-01-15
2324_0009,k6_c2_tao_so_do_tu_duy,0.88,2025-01-15
2324_0009,k6_c3_chinh_sua_so_do,0.88,2025-01-15
2324_0009,k6_c4_trinh_bay_so_do,0.88,2025-01-15
2324_0009,k6_d1_van_ban_so,0.88,2025-01-15
2324_0009,k6_d2_soan_thao_van_ban,0.88,2025-01-15
2324_0009,k6_d3_dinh_dang_van_ban,0.88,2025-01-15
2324_0009,k6_e1_bang_tinh,0.88,2025-01-15
2324_0009,k6_e2_nhap_du_lieu,0.88,2025-01-15
2324_0009,k6_e3_tinh_toan,0.88,2025-01-15
2324_0009,k6_f1_trinh_chieu,0.88,2025-01-15
2324_0010,A1_Thong_tin_va_xu_li,0.9,2025-01-15
2324_0010,A2_Luu_tru_va_trao_doi,0.9,2025-01-15
2324_0010,A3_May_tinh_trong_HDTT,0.9,2025-01-15
2324_0010,A4_May_tinh_va_phan_mem,0.9,2025-01-15
2324_0010,A5_He_dieu_hanh,0.9,2025-01-15
2324_0010,k6_b1_khai_niem_loi_ich,0.9,2025-01-15
